job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance
JG04,1.3527749258468702,PG03,1.3527749258468702,1.73205080756888,RM_type_A,2,1985,Y,1,level_0,2.86,2011,4,2,3,2,3,0,46.37,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,1.0392304845413298,RM_type_A,2,1989,Y,0,level_1,7.28,2007,4,4,3,0,0,1,47.68,0.0,0
JG05,2.5651510676761298,PG06,2.30867927612304,1.78044938147649,RM_type_C,1,1970,Y,1,level_1,0.0,1989,28,10,9,6,2,1,40.73,0.0,0
JG05,2.82842712474619,PG06,1.0,1.3856406460551,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,11,6,0,4,10,47.42,0.0,1
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,7.2,1985,30,9,8,2,3,0,47.18,0.0,0
JG05,2.82842712474619,PG06,2.1213203435596397,1.1180339887498998,RM_type_A,1,1971,Y,3,level_1,0.0,1990,28,7,9,4,0,0,48.46,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,2.10237960416286,RM_type_A,1,1969,Y,2,level_1,0.0,1988,29,8,6,2,8,0,60.38,0.0,0
JG05,2.82842712474619,PG06,2.23606797749979,1.58113883008419,RM_type_C,2,1968,Y,2,level_1,0.0,1987,29,6,8,1,3,4,14.71,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,0.41231056256176596,RM_type_B,1,1989,Y,0,level_1,3.01,2007,3,2,2,0,9,0,26.76,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,0.41231056256176596,RM_type_B,2,1991,N,0,level_1,4.19,2009,3,2,2,0,3,0,41.45,0.0,1
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1966,Y,2,level_1,0.0,1985,29,8,9,0,11,3,46.3,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,2,1989,Y,0,level_1,2.96,2007,3,2,2,0,8,0,49.15,0.0,0
JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,1,1993,N,0,level_1,8.3,2011,3,2,2,0,3,0,44.93,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.648074069840786,RM_type_B,2,1980,N,0,level_1,0.0,1999,5,6,3,0,5,5,73.56,1.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_B,2,1974,Y,0,level_1,0.0,1992,6,4,6,0,3,6,41.8,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_A,2,1988,Y,3,level_1,6.82,2009,3,3,4,1,10,2,43.54,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,1,1990,Y,0,level_1,7.82,2008,3,2,3,0,11,2,31.08,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_A,2,1990,Y,1,level_1,7.0,2009,3,3,5,0,6,4,44.24,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,0.707106781186548,RM_type_B,2,1993,N,0,level_1,0.0,2012,3,2,2,0,3,0,25.86,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,1.1180339887498998,RM_type_B,1,1994,Y,0,level_1,0.0,2013,3,2,2,0,1,1,13.39,0.0,0
JG05,2.73861278752583,PG05,1.0,1.3527749258468702,RM_type_A,2,1969,Y,2,level_1,0.0,1989,24,10,5,0,5,0,34.79,0.0,0
